date,adj_close,close,high,low,open,volume,symbol
2015-01-01,189.12535095214844,202.95899963378906,203.8961944580078,201.98751831054688,202.59327697753906,2963643,RELIANCE_NS
2015-01-02,188.62481689453125,202.4218292236328,204.82196044921875,202.1361083984375,203.0047149658203,7331366,RELIANCE_NS
2015-01-05,186.5586700439453,200.20457458496094,203.64476013183594,199.80455017089844,202.29611206054688,10103941,RELIANCE_NS
2015-01-06,178.09182739257812,191.11839294433594,199.55311584472656,190.1811981201172,198.86737060546875,18627980,RELIANCE_NS
2015-01-07,181.9684600830078,195.2786102294922,196.30723571777344,191.32412719726562,191.34698486328125,20720312,RELIANCE_NS
2015-01-08,179.3592071533203,192.4784698486328,197.2444305419922,192.04415893554688,196.60438537597656,19872227,RELIANCE_NS
2015-01-09,183.24647521972656,196.6501007080078,197.0386962890625,193.1527862548828,193.92996215820312,13392787,RELIANCE_NS
2015-01-12,181.11647033691406,194.36427307128906,196.81011962890625,192.3756103515625,196.69583129882812,10100113,RELIANCE_NS
2015-01-13,179.59347534179688,192.7299041748047,195.42718505859375,192.12416076660156,194.9814453125,9948711,RELIANCE_NS
2015-01-14,177.8468780517578,190.85552978515625,193.60995483398438,189.9983367919922,192.69561767578125,11380041,RELIANCE_NS
2015-01-15,184.0878448486328,197.55300903320312,199.11880493164062,192.00987243652344,192.00987243652344,16927085,RELIANCE_NS
2015-01-16,185.2487335205078,198.79879760742188,200.01028442382812,194.76429748535156,196.58152770996094,19136963,RELIANCE_NS
2015-01-19,187.3680877685547,201.0731964111328,202.52468872070312,196.29580688476562,198.9130859375,13339962,RELIANCE_NS
2015-01-20,192.3523712158203,206.4220428466797,206.99349975585938,200.89031982421875,201.49607849121094,13361320,RELIANCE_NS
2015-01-21,193.14048767089844,207.26779174804688,208.33070373535156,203.90762329101562,206.86778259277344,17084297,RELIANCE_NS
2015-01-22,188.24143981933594,202.01039123535156,207.37066650390625,201.03890991210938,206.90206909179688,23721627,RELIANCE_NS
2015-01-23,188.91236877441406,202.7304229736328,205.2219696044922,200.4674530029297,203.43902587890625,18080494,RELIANCE_NS
2015-01-27,189.37033081054688,203.2218780517578,204.9705352783203,201.26748657226562,204.10191345214844,17939876,RELIANCE_NS
2015-01-28,193.16180419921875,207.2906494140625,207.96498107910156,202.54754638671875,202.54754638671875,19298126,RELIANCE_NS
2015-01-29,197.9649658203125,212.44520568847656,213.61097717285156,207.3020782470703,207.34779357910156,36117653,RELIANCE_NS
2015-01-30,194.95098876953125,209.21075439453125,212.8680877685547,207.7821044921875,212.5823516845703,21746801,RELIANCE_NS
2015-02-02,193.41737365722656,207.56495666503906,210.27366638183594,207.0277862548828,209.39361572265625,19302710,RELIANCE_NS
2015-02-03,199.71163940429688,214.31959533691406,215.06248474121094,208.74215698242188,208.74215698242188,17092333,RELIANCE_NS
2015-02-04,197.8372039794922,212.3080596923828,215.73680114746094,211.64517211914062,214.66246032714844,14072894,RELIANCE_NS
2015-02-05,196.7509002685547,211.1422882080078,214.84532165527344,209.7479248046875,213.953857421875,12365643,RELIANCE_NS
2015-02-06,193.8114471435547,207.9878387451172,212.5823516845703,206.41061401367188,211.2337188720703,9045844,RELIANCE_NS
2015-02-09,190.9998016357422,204.9705352783203,209.83935546875,203.8961944580078,205.99916076660156,8839692,RELIANCE_NS
