Strategy,Total Return (%),Ann. Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),# Trades
Buy & Hold,290.02641422143876,30.67427168398156,1.1398162983563758,-44.376870171441546,52.771272443403596,1
DQN (RL),289.63677744399484,30.648600678179584,1.1390695365684613,-44.37687017144153,0.0,0
S4: VolBreak,140.4840061808003,18.80943030494531,1.0162898272124237,-21.499783918172895,69.23076923076923,13
S2: Momentum,63.68348552495122,10.162476688051768,0.7839365462783568,-19.86020074448827,46.0,50
S3: MeanRev,97.07153552516996,14.253220680522794,0.7795075645505457,-35.35603444683625,88.23529411764706,17
S1: Regime,0.0,0.0,0.0,0.0,0.0,0
PPO (RL),0.0,0.0,0.0,0.0,0.0,0
