Agent,Total Return (%),Ann. Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),# Trades
DQN,289.63677744399484,30.648600678179584,1.1390695365684613,-44.37687017144153,0.0,0
PPO,0.0,0.0,0.0,0.0,0.0,0
