date,open,high,low,close,volume,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_pct_b,roc_5,roc_10,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,z_score_20,future_return,target_direction
2015-10-16,0.6880000233650208,0.703000009059906,0.6862499713897705,0.6965000033378601,448396000.0,,,,,,,,,0.6965000033378601,0.6965000033378601,0.6965000033378601,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0017947287928771205,0
2015-10-19,0.6987500190734863,0.7020000219345093,0.687250018119812,0.6952499747276306,294712000.0,-0.0017947287928771205,,-0.0017963412481658886,,,,,,0.6963076912439787,0.6963809529940288,0.6964074086259913,-0.0016240798395413814,0.0,-9.971738201253189e-05,-1.9943476402506378e-05,-7.977390561002551e-05,,,,,,,,,,,-294712000.0,,,,,-0.0014383130697537272,0
2015-10-20,0.6922500133514404,0.6974999904632568,0.6869999766349792,0.6942499876022339,264824000.0,-0.0014383130697537272,,-0.0014393484349022757,,,,,,0.6959911214529411,0.696178003909096,0.6962475996612686,-0.0027694300825883422,0.0,-0.0002564782083275263,-6.725042278751037e-05,-0.00018922778554001594,,,,,,,,,,,-559536000.0,-0.8985857379407693,,,,-0.012963634855715167,0
2015-10-21,0.6984999775886536,0.702750027179718,0.6840000152587891,0.6852499842643738,386280000.0,-0.012963634855715167,,-0.01304839610956686,,,,,,0.6943386388085461,0.6951372401334082,0.6954329614837208,-0.01422345876209552,0.0,-0.0010943226751747304,-0.00027266487326495437,-0.0008216578019097759,,,,,,,,,,,-945816000.0,-0.6903577249721198,,,,0.036118197513749006,1
2015-10-22,0.6932500004768372,0.7122499942779541,0.6922500133514404,0.7099999785423279,306884000.0,0.036118197513749006,,0.03548122759372859,,,,,,0.6967480756906663,0.6965527390294958,0.6965119997843584,0.019305414736532578,0.5158271890676265,0.00023607590630791986,-0.00017091671735037952,0.0004069926236582994,,,,,,,,,,,-638932000.0,0.32446480076463075,,,,0.006690159852106525,1
2015-10-23,0.7162500023841858,0.7195000052452087,0.7055000066757202,0.7147499918937683,381776000.0,0.006690159852106525,0.026202424218877418,0.006667880047781318,,,,,,0.6995176012603743,0.6982858107308552,0.6978629621628332,0.023577997590529698,0.5624730826779264,0.0016546390975411551,0.0001941944456279274,0.0014604446519132278,,,,,0.026202424218877418,,,,,,-257156000.0,0.5975221150294554,,,,-0.0045470484755262275,0
2015-10-26,0.7152500152587891,0.7170000076293945,0.7049999833106995,0.7114999890327454,247436000.0,-0.0045470484755262275,0.023372908875661347,-0.00455741774543384,,,,,,0.7013610455330468,0.6995443039024638,0.6988731123013452,0.017090676120991688,0.5251907013435457,0.0024879332317016,0.000652942202842662,0.001834991028858938,,,,,0.023372908875661347,,,,,,-504592000.0,-0.9622019319012584,,,,-0.0007026897654006659,0
2015-10-27,0.7080000042915344,0.715499997138977,0.7074999809265137,0.7110000252723694,208268000.0,-0.0007026897654006659,0.024126810182576897,-0.0007029367675712417,,,,,,0.7028439654929425,0.700635324985312,0.6997714021510507,0.014793288202068045,0.5194862299532155,0.0030725633418917653,0.0011368664306524827,0.0019356969112392826,,,,,0.024126810182576897,,,,,,-712860000.0,-0.41274534673558044,,,,0.008087201508374608,1
2015-10-28,0.715499997138977,0.7167500257492065,0.7049999833106995,0.7167500257492065,217036000.0,0.008087201508374608,0.04596868618486516,0.008054675340362995,,,,,,0.7049833593785216,0.7021700583913971,0.7010290779731363,0.02076415418682287,0.57646368765262,0.00395428140538534,0.0017003494255990544,0.0022539319797862858,,,,,0.04596868618486516,,,,,,-495824000.0,0.30445809836433524,,,,-0.03453094243942034,0
2015-10-29,0.7052500247955322,0.7124999761581421,0.690750002861023,0.6919999718666077,327168000.0,-0.03453094243942034,-0.02535212284467292,-0.03514122572594919,,,,,,0.7029859151459195,0.7012014787223695,0.7003602552985786,-0.013122486382269871,0.3719948559706404,0.0026256598473408665,0.001885411509947417,0.0007402483373934495,,,,,-0.02535212284467292,,,,,,-822992000.0,-0.6598470424989512,,,,0.024927748745395384,1
2015-10-30,0.6995000243186951,0.7142500281333923,0.6942499876022339,0.7092499732971191,301160000.0,0.024927748745395384,-0.00769502435680558,0.0246221210770206,,,,,,0.7039496163999502,0.7019680020152028,0.7010187529281001,0.010373651307483023,0.5040344886020995,0.0029308634718501203,0.002094501902327958,0.0008363615695221624,,,,,-0.00769502435680558,0.018305771569500306,,,,,-521832000.0,0.365933083189144,,,,0.011632003388451606,1
2015-11-02,0.7114999890327454,0.7182499766349792,0.7072499990463257,0.7174999713897705,190088000.0,0.011632003388451606,0.008432863597344298,0.011564871719392866,,,,,,0.7060342863983842,0.703447237193733,0.7022395839252609,0.019976955559734888,0.5524950404277031,0.0037947024731233014,0.0024345420164870266,0.0013601604566362748,,,,,0.008432863597344298,0.03200287302542737,,,,,-331744000.0,0.36427049318554633,,,,-0.006968634747042013,0
2015-11-03,0.7132499814033508,0.7172499895095825,0.7045000195503235,0.7124999761581421,376768000.0,-0.006968634747042013,0.002109635488688033,-0.0069930290783427355,,,,,,0.7070290078998854,0.704309402809391,0.7029996129795483,0.011629226183947017,0.5193730294683415,0.004029394920337159,0.0027535125972570533,0.001275882323080106,,,,,0.002109635488688033,0.026287344446255023,,,,,-708512000.0,-1.1357191087103309,,,,-0.016491204529183512,0
2015-11-04,0.7105000019073486,0.715749979019165,0.6974999904632568,0.7007499933242798,442264000.0,-0.016491204529183512,-0.022323030136207067,-0.01662869816218685,,,,,,0.7060630056574846,0.7039704114298566,0.7028329744865655,-0.004574649805288988,0.4509545509566131,0.0032300311709191343,0.00284881631198947,0.0003812148589296643,,,,,-0.022323030136207067,0.022619495681631463,0.016000011137553623,0.022832695383486704,0.4718305011324886,,-1150776000.0,-0.6242152567634704,,,,-0.011416362880736108,0
2015-11-05,0.7042499780654907,0.706250011920929,0.690750002861023,0.6927499771118164,478800000.0,-0.011416362880736108,0.0010838226527460915,-0.011482029814875212,,,,,,0.7040148474196894,0.7029017986376622,0.7020860857921396,-0.014442730898571732,0.4112334922936398,0.0019287616275498465,0.0026648053751015454,-0.000736043747551699,,,,,0.0010838226527460915,-0.024295777396960982,0.015910723379680088,0.02296748308244541,0.2464778682015007,,-1629576000.0,-0.4160670712632172,,,,0.1385781579320513,1
2015-11-06,0.7612500190734863,0.7985000014305115,0.7455000281333923,0.7887499928474426,1172272000.0,0.1385781579320513,0.11209026794988586,0.12978025408371807,,,,,,0.7170510236393438,0.7110778171338318,0.7085056344629028,0.10923161128368064,0.7246555266517909,0.008545389176440987,0.0038409221353694336,0.004704467041071554,,,,,0.11209026794988586,0.10353270625104494,0.02241072484425136,0.028412963610113105,0.9148470763267501,0.5443851485535798,-457304000.0,0.7193724011644747,,,,-0.0044373816455779425,0
2015-11-09,0.781000018119812,0.7875000238418579,0.7742499709129333,0.7852500081062317,492568000.0,-0.0044373816455779425,0.09442514204597385,-0.00444725604532633,,,,,,0.7275431750957881,0.7181418353216794,0.7141904028809272,0.09344696198417735,0.709819624492911,0.013352772214860975,0.005743292151267742,0.007609480063593233,,,,,0.09442514204597385,0.10365427998635157,0.022696439708982195,0.028903456828633017,0.8842795203100899,0.6818681549461135,-949872000.0,-1.0771128177317495,,,,-0.01910217833815797,0
2015-11-10,0.7749999761581421,0.7792500257492065,0.7537500262260437,0.7702500224113464,552260000.0,-0.01910217833815797,0.08105269920793168,-0.019286982168903236,,,,,,0.7341134592981817,0.7231045198064096,0.7183429672905878,0.06519873865199832,0.6485384012526626,0.01577049200759395,0.007748732122532983,0.008021759885060967,,,,,0.08105269920793168,0.0833333263473226,0.02360715184892927,0.03064868700039069,0.7378192167590009,0.8456486044652802,-1502132000.0,-0.5814046524163256,,,,-0.009737088775360392,0
2015-11-11,0.7707499861717224,0.7762500047683716,0.7599999904632568,0.7627500295639038,619896000.0,-0.009737088775360392,0.08847668473816572,-0.009784804216571701,,,,,,0.7385190854929082,0.7268802826404566,0.7216323793108335,0.04934753050825269,0.6197288923583617,0.016886706182074773,0.009576326934441342,0.007310379247633432,,,,,0.08847668473816572,0.06417858690219691,0.0228392950126103,0.02994335513257008,0.6682137137704709,0.7634374836131873,-2122028000.0,-0.4126774477875446,,,,-0.0036054264097757915,0
2015-11-12,0.7609999775886536,0.7680000066757202,0.7567499876022339,0.7599999904632568,291080000.0,-0.0036054264097757915,0.0970768900373209,-0.0036119416243726365,0.7213499933481217,,,0.053580089376229934,,0.741823840103731,0.7300345405283423,0.7244744245813834,0.04104661940136145,0.6090454172838586,0.01734941552234759,0.011130944652022592,0.006218470870324996,0.7867271364810249,0.6559728502152185,0.17204511566652173,0.7955925822314135,0.0970768900373209,0.09826592682254764,0.022642867905753,0.02979324761826783,0.6426913087852546,0.6829080797715754,-2413108000.0,-0.1371706688130411,0.7302501552625424,0.040739238446335646,1.1823703289256546,-0.019736823530408287,0
2015-11-13,0.7607499957084656,0.7639999985694885,0.7412499785423279,0.7450000047683716,292940000.0,-0.019736823530408287,-0.05546749727518918,-0.01993419595197219,0.7237749934196472,,,0.02932542784939529,,0.7423124808213681,0.7314598228369166,0.7259948379285678,0.018511176565980447,0.5530430488045259,0.016317642892800355,0.012168284300178146,0.004149358592622209,0.7888684485676927,0.6586815382716018,0.17474752948030833,0.6630349111170332,-0.05546749727518918,0.05040540404261118,0.02341072474207197,0.03142379139896867,0.5034803028081948,0.60479510845464,-2706048000.0,-0.12139531260101082,0.7329914282923701,0.016382969858157237,0.6521396444681321,0.020134208857554237,1
2015-11-16,0.7547500133514404,0.7605000138282776,0.7487499713897705,0.7599999904632568,344280000.0,0.020134208857554237,-0.032155386669615815,0.019934195951972208,0.7270124942064286,,,0.04537404311439763,,0.7450336361508895,0.7341779340394251,0.7285137381163225,0.03517138724363389,0.5933147368285805,0.016519898034566993,0.013038607047055915,0.003481290987511078,0.7925715403642193,0.6614534480486378,0.17252380784328514,0.7515861516458946,-0.032155386669615815,0.05923347842253612,0.0239464385168893,0.031508472128128295,0.6426913087852546,0.5962876401262347,-2361768000.0,0.12722612459202498,0.735437636537635,0.03339828247199694,1.0063446065835788,0.0,0
2015-11-17,0.7620000243186951,0.7664999961853027,0.7567499876022339,0.7599999904632568,257048000.0,0.0,-0.013307408828111211,0.0,0.7302999943494797,,,0.0406682135335803,,0.747336152198946,0.7366371775083614,0.7308460531049843,0.03171549531876594,0.5933147368285805,0.016490099093961708,0.013728905456437075,0.0027611936375246324,0.7955349308382725,0.6650650578606868,0.17167088765100905,0.7276387294320392,-0.013307408828111211,0.06666668897483863,0.02380357895578657,0.031320499019055426,0.6426913087852546,0.5962876401262347,-2361768000.0,0.0,0.7377014121451199,0.03022710537220763,0.9105549177281572,0.020723672549645134,1
2015-11-18,0.7602499723434448,0.7767500281333923,0.7519999742507935,0.7757499814033508,350216000.0,0.020723672549645134,0.017043528463551283,0.020511858623981655,0.7348249942064286,,,0.05569351548952017,,0.7517075105380852,0.7403622064507414,0.7341722700159744,0.04779792194182453,0.6335250338793,0.01753524052211075,0.014490172469571811,0.00304506805253894,0.7994547427734633,0.6701952456393938,0.1666252017180018,0.8166110661445202,0.017043528463551283,0.10702816809641269,0.02371429545538766,0.03056950824863433,0.7888629203787039,0.6914151793164044,-2011552000.0,0.14828552169391743,0.7413749448375085,0.046366601414317365,1.2664442645780793,0.002900439303338276,1
2015-11-19,0.7785000205039978,0.7857499718666077,0.7722499966621399,0.777999997138977,254072000.0,0.002900439303338276,0.023684219607355894,0.002896241144972081,0.7382249951362609,,,0.05387924042774306,,0.7557525084766838,0.7439467579448591,0.737418768321382,0.04577375844501219,0.6390160992010459,0.01833374015530187,0.015258886006717823,0.0030748541485840462,0.8044898071817702,0.6719601830907517,0.17034656115473518,0.8001215937607993,0.023684219607355894,0.12306030002711998,0.023089289665222168,0.029677750321505002,0.8097447372278723,0.7470996554639436,-1757480000.0,0.12630645392214568,0.7440282430360815,0.045659226542624776,1.200486375043198,0.00867607664146064,1
