date,adj_close,close,high,low,open,volume,symbol,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_pct_b,roc_5,roc_10,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,future_return,target_direction
2015-07-20,278.9809875488281,278.9809875488281,278.9809875488281,272.9599914550781,273.4989929199219,22711400.0,BTC-USD,0.01961512791296327,-0.023958458452847498,-5.641593268565675e-05,275.88489761352537,253.20301849365234,246.83213012695313,0.011222397318898958,0.10180751086038908,278.674432156037,274.5431973818382,271.08366404700325,0.016164269263673647,0.5593161031185447,7.590768109033775,9.644483312139874,-2.0537152031060995,303.72157554278647,248.04821968426427,0.19955967733743174,0.5556116994845897,-2.3958458452847498,-2.0755174359296857,9.873711927744202,0.03539206027800039,0.0008527646297004287,0.000875303044107728,38043900.0,2.860521989730684,279.2742903209584,-0.001050231912838151,-0.011283850430048203,0
2015-07-21,275.8330078125,275.8330078125,280.5469970703125,275.41900634765625,278.8819885253906,22930700.0,BTC-USD,-0.011283850430048203,-0.008112444334216429,0.001223658793751916,276.7454978942871,254.26115875244142,246.63613510131836,-0.0032972174388746778,0.0848413071265115,278.237289949339,274.6660364706765,271.4354673512225,0.004248691817956507,0.5356446691678862,6.80182259811653,9.075951169335205,-2.274128571218675,303.37287194469127,250.11812384388293,0.1930688010225692,0.4828655638355513,-0.8112444334216429,-5.895973593181402,9.534731734793422,0.03456704406194469,0.000827785928953657,0.0008807588141656936,-219300.0,-1.0057643932404408,279.9257132347051,-0.014620684091187885,0.005035572289903145,1
2015-07-22,277.22198486328125,277.22198486328125,277.6659851074219,274.3810119628906,275.6570129394531,19389800.0,BTC-USD,0.005035572289903145,-0.008050896411319064,-0.003497816288041461,277.8359970092773,255.28953857421874,246.61683502197266,-0.002209980537459133,0.08591204485524284,278.0810891668686,274.9094601274805,271.86409834835877,0.008411950373509836,0.5447988279470015,6.216990818509828,8.50415909917013,-2.2871682806603015,302.49858846529963,253.173405553255,0.17792666384800085,0.48755175126079187,-0.8050896411319064,-10.822962571013173,9.088320276226876,0.03278354810391031,0.0008388072330920589,0.0008844071274288038,42320500.0,-193.9799361605107,280.5056450693383,-0.011706217909608796,-0.004231171035699033,0
2015-07-23,276.04901123046875,276.04901123046875,278.1109924316406,275.71600341796875,277.34100341796875,18531300.0,BTC-USD,-0.004231171035699033,0.004176086117649858,0.001677908350227815,278.82164764404297,256.2930389404297,246.67610504150392,-0.009944121760279923,0.07708353052316386,277.76846179203784,275.01798880410297,272.17409194226934,0.003748927227811949,0.535203391678991,5.594369849768498,7.922201249289803,-2.3278313995213056,301.3496160978366,256.29367919024935,0.16321716461418795,0.4384623513819925,0.41760861176498576,-5.480142423870371,8.61022505607561,0.03119092880534564,0.0008294998805002495,0.0008882731007074784,858500.0,-0.9797143228459021,281.0536972215014,-0.01780686765735162,0.044300118488887597,1
2015-07-24,288.27801513671875,288.27801513671875,289.25299072265625,275.2539978027344,276.0050048828125,37199400.0,BTC-USD,0.044300118488887597,0.053593751533608236,-0.001548747950848431,280.19124908447264,257.572119140625,246.7451251220703,0.0288615939243988,0.11921280959500691,279.385316152758,276.2808484563803,273.3669753096335,0.04342380858958661,0.611941822997759,6.018340843124463,7.541429168056736,-1.5230883249322726,301.4212588760587,258.9612392928866,0.1472884415519338,0.690456013248074,5.359375153360824,0.2831749051448007,8.995137143513464,0.03120299388507802,0.000926535012423183,0.0008901910652772416,55730700.0,63.91636575422248,281.6720193928435,0.023452793636069336,0.0014533742015652162,1
2015-07-27,293.6239929199219,293.6239929199219,297.77398681640625,287.45001220703125,292.6390075683594,30592000.0,BTC-USD,0.0032047595935034145,0.059165610782022426,-0.0009126104553231209,283.58409881591797,261.6032189941406,246.80078506469727,0.0354035862586255,0.12240206389241126,284.33301526940346,280.31415187683496,277.1660887166557,0.04748187329812392,0.6421338897649997,7.166926552747782,7.19004822103671,-0.02312166828892792,303.7460881751054,263.42210945673054,0.13733202902588465,0.7489807410653384,5.916561078202243,5.063837816718486,8.585395592927568,0.029239421164295,0.0009689544656694989,0.0008782723805819805,46624300.0,0.2706073117224652,284.7362835784892,0.031213827861115373,0.002734820902126067,1
2015-07-28,294.427001953125,294.427001953125,296.64898681640625,293.4230041503906,293.63299560546875,25453600.0,BTC-USD,0.002734820902126067,0.06657510070671036,-0.004234793987162956,284.7661987304688,262.9219790649414,246.8208801269531,0.033925386038531125,0.11982650899034142,285.8859362976683,281.6582328375885,278.4446750144999,0.04533426552775155,0.6468824406387499,7.441261283168387,7.240290833463046,0.20097044970534128,304.5370285370666,264.99536892387096,0.13430038464845342,0.7443196192865985,6.6575100706710355,7.102921017820241,8.20258031201844,0.027859470285012625,0.0009753262100952529,0.0008822188347929836,56045600.0,0.20206844928502954,285.93594529534425,0.029695660155669934,-0.01642853944491296,0
2015-07-29,289.5899963378906,289.5899963378906,294.5360107421875,288.7770080566406,294.4840087890625,24672600.0,BTC-USD,-0.01642853944491296,0.0045510969698805415,0.002722665876824631,285.7842987060547,264.13281890869143,246.8948501586914,0.013316678519663228,0.09638021331230151,286.4557916884717,282.4136388857992,279.27025445081415,0.025410803388973058,0.5956144178650205,7.18553723765757,7.229340114301951,-0.04380287664438054,304.23942141311335,267.32917599899605,0.1274569076310592,0.6031068092107655,0.45510969698805415,5.8388758863697765,8.028039022567878,0.027722086826510558,0.0009369453671758752,0.0008843504638710327,781000.0,-0.9860649185663103,287.10350622522935,0.00866060517808731,-0.006450538686529117,0
2015-07-30,287.72198486328125,287.72198486328125,290.1260070800781,286.5679931640625,289.1029968261719,21635800.0,BTC-USD,-0.006450538686529117,-0.003377264516164491,0.0029412749608661265,285.92569732666016,265.31119873046873,247.00516006469726,0.006282357806297156,0.08446980843646856,286.6505906384424,282.9191956459002,279.8963086109294,0.01697583370550859,0.5766084563818639,6.754282027513,7.1343284969441605,-0.3800464694311607,304.395428061653,267.45596659166733,0.12838595384895043,0.5486278755872126,-0.3377264516164491,3.1331874588490516,7.708751463289936,0.026792361615859676,0.0009221230037796517,0.0008898101948431404,3036800.0,2.888348271446863,287.8759539278346,-0.0005348451735983639,-0.010676942077459284,0
2015-07-31,284.6499938964844,284.6499938964844,288.9590148925781,282.343994140625,287.6960144042969,23629100.0,BTC-USD,-0.010676942077459284,-0.027456081311807656,0.0010563782690715974,285.5024475097656,266.4100985717773,247.08943008422852,-0.0029858014203261174,0.06846548018446375,286.342806524295,283.08403357462777,280.24843347579395,0.005531786099281399,0.5457655134545398,6.094373048501041,6.926337407255536,-0.8319643587544956,303.6638913854672,267.341003634064,0.12760544012030559,0.47653122683649246,-2.7456081311807656,3.1964941954944814,7.630627829312634,0.026807054252344663,0.0008977472614040322,0.0008927449554773489,-1993300.0,-1.6563817175974709,287.4966720615506,-0.00990160388519834,-0.010711332437264964,0
2015-08-03,281.2269897460937,281.2269897460937,285.47100830078125,280.2330017089844,282.8059997558594,21474100.0,BTC-USD,-0.004907838460522007,-0.028878782753389953,-0.0002498738881719298,283.2552993774414,269.40039916992185,248.24760025024415,-0.007160712035417127,0.043899677255906155,284.5480432947666,282.7510534145065,280.56906515555295,-0.005390125518572542,0.5111256872496039,3.978978139213666,5.757629221157164,-1.7786510819434982,296.3737873231374,270.13681143174546,0.09329465822281148,0.42269270514468127,-2.8878782753389953,-2.4459115924192254,7.268684262762898,0.025846325309407333,0.0008705862872272105,0.0009029162889526184,-3751900.0,-1.1021837177126796,283.5986041138896,-0.008362574192514405,0.014191373730012335,1
2015-08-04,285.2179870605469,285.2179870605469,285.7149963378906,281.2250061035156,281.2250061035156,21908700.0,BTC-USD,0.014191373730012335,-0.008702837928510121,-0.0007661852540819514,283.2247482299805,270.3682989501953,248.63320518493651,0.007037657701253863,0.054923924764889165,284.65111156642513,282.98599947613013,280.9134297618805,0.007887272121407607,0.5491650699048412,3.73768180454465,5.353639737834662,-1.6159579332900122,296.32082588690355,270.12867057305743,0.09183206004565894,0.5761006036610009,-0.8702837928510121,-1.2050710658948693,7.070206095705218,0.024788780569453828,0.0009022541936144276,0.000908235450714102,43382800.0,-12.562888136677417,283.3593783857945,0.006559192377327605,-0.011696311896514655,0
