date,adj_close,close,high,low,open,volume,symbol,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_pct_b,roc_5,roc_10,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,future_return,target_direction
2015-10-21,206.9331512451172,218.29693603515625,222.8228759765625,217.8397674560547,218.4112243652344,14404450.0,RELIANCE.NS,-0.0017769606346734745,0.057644369303482934,0.00231525477616968,203.3921691894531,203.0552377319336,206.83308906555175,0.07328092770287453,0.07506183279716327,209.8958726292318,206.85873183940805,205.90262003787038,0.05529476128002231,0.6733534217633441,3.9932525913614256,1.746018549058965,2.247234042302461,221.17947019414206,185.60486818476417,0.16296427542917355,0.9189721319095591,5.764436930348293,4.508648258755099,4.83680624185221,0.022157004718899274,0.025348483523977172,0.01795988762399255,3687445.0,-0.7607723777666479,203.78632061764122,0.07120505131814459,0.0006806088614896844,1
2015-10-23,207.073974609375,218.4455108642578,222.42286682128903,215.1310577392578,220.3427581787109,12153422.0,RELIANCE.NS,0.0006806088614896844,0.05748587733379673,0.008458623498321391,204.62366104125977,202.9946630859375,206.9105216217041,0.06754766165683579,0.07611455170020509,211.21120158846657,207.9622346057033,206.83172323982976,0.05040951920155523,0.6746962549802671,4.379478348636809,2.272710508974534,2.106767839662275,223.01934562931774,186.2279764532018,0.16842355345529683,0.8756818550795019,5.748587733379673,7.485093960567024,5.01216364711845,0.022944685964423464,0.025452400537986395,0.01899851652169606,26557872.0,6.202242202934552,204.84701520437045,0.06638366512843996,-0.013393992544728617,0
2015-10-26,204.3004302978516,215.5196533203125,220.12559509277344,215.16534423828125,219.8741607666016,10938775.0,RELIANCE.NS,-0.013393992544728617,0.030662440679227743,0.003600963705983327,205.68085861206055,202.88882904052736,206.9760107421875,0.04783524716225118,0.06225490254696142,211.87404031644286,208.6819887701937,207.4752737301826,0.032765954505295625,0.6205907010850134,4.398766586260251,2.6979217244316778,1.7008448618285734,224.02697193427,187.3347452898511,0.17025002629289535,0.768143844297018,3.0662440679227743,6.254580458925307,5.008455589333218,0.02323897385770886,0.023405981361725264,0.019624891764290997,1214647.0,-0.9542641443561442,205.91919690424234,0.04662244492209533,-0.0035000682511893144,0
2015-10-27,203.5853729248047,214.76531982421875,216.7539978027344,214.27386474609372,214.5938873291016,11601798.0,RELIANCE.NS,-0.0035000682511893144,-0.024857343697453627,-0.0028648712369530754,206.84891815185546,202.8735137939453,207.0488144683838,0.03827141927110089,0.05861684853722071,212.3188525484084,209.2613536333516,208.0152772331435,0.02630187607650991,0.60707401916445,4.3035753152648795,3.0190524425983183,1.2845228726665612,224.32172148664296,189.37611481706796,0.1627153150153726,0.7265349618112544,-2.4857343697453627,5.360243542906118,4.827861069841771,0.022479705167451066,0.02287838133044664,0.020098811985306216,-663023.0,-1.5458565328033576,207.90045849380053,0.03301994319855206,-0.002767274416939136,0
2015-10-28,203.02198791503903,214.17100524902344,215.98825073242188,212.5594940185547,214.1595764160156,11958727.0,RELIANCE.NS,-0.002767274416939136,-0.020643918844664988,-0.003910106893694899,208.02269287109374,202.88997161865234,207.16407752990722,0.029555969558280992,0.055601731028750434,212.6037991177338,209.72893950214592,208.4712571554344,0.02118003246200595,0.596058838268001,4.132541962299399,3.241750346538535,0.8907916157608642,224.0180541619299,192.02733158025757,0.149369997794406,0.6921904815445494,-2.064391884466499,4.851159861681653,4.727925017247696,0.022075467273221166,0.022462702602024612,0.020363179924297082,-356929.0,-0.46166422582625344,208.96127457730637,0.024931560559512622,0.004322555194315569,1
2015-10-29,203.8995819091797,215.0967712402344,216.0111083984375,213.71383666992188,213.953857421875,13280382.0,RELIANCE.NS,0.004322555194315569,-0.014659687181346692,0.0031740144246646907,209.16846618652343,202.77133697509765,207.26316833496094,0.0283422504443116,0.06078489420154298,212.9873332904262,210.24016157306832,208.9620360455572,0.02310029459085139,0.6079909045007004,4.0252972448689945,3.398459726204628,0.6268375186643667,223.59163542386906,194.7452969491778,0.13410865401821281,0.7055132598167443,-1.4659687181346692,4.213963370038121,4.554306881369086,0.02117329263061105,0.023110206880236978,0.020955866258603243,25239109.0,-71.7118474542556,210.33219603888259,0.02265261948042907,0.007120094786097653,1
2015-10-30,205.3513336181641,216.62828063964844,218.50265502929688,214.89105224609372,215.34820556640625,13366359.0,RELIANCE.NS,0.007120094786097653,-0.008318917689906669,0.0011576896132578674,210.1445167541504,202.7576220703125,207.38391738891602,0.030853833284089083,0.06841004756174285,213.54747903646037,210.84855386580006,209.5299060894428,0.027411744913019565,0.6275893988407035,4.017572947017584,3.522282370367219,0.495290576650365,223.749894702831,196.5391388054698,0.12561035806135157,0.7382794476549918,-0.8318917689906669,4.868873936201812,4.486970858573756,0.0207127658739887,0.024181383503333577,0.021645050012313725,26646741.0,0.05577185787342964,211.68430815318425,0.023355403759481863,0.012767741467868854,1
2015-11-02,207.9732208251953,219.3941345214844,219.78273010253903,216.05682373046875,216.9254302978516,7222044.0,RELIANCE.NS,0.012767741467868854,0.017977391581145197,-0.004182264508697979,211.23143005371094,202.82939727783204,207.4976375579834,0.038643418101642846,0.0816683255285835,214.44696449569486,211.6624186909697,210.26058976510876,0.03652852442267096,0.6605916341501528,4.186374730586095,3.6551008424109943,0.5312738881751011,224.08867419091493,198.37418591650695,0.11720681744976125,0.8174360065293345,1.7977391581145197,4.9191062963297005,4.432609097705633,0.020203863277263527,0.02611589204912326,0.0224221658340486,20588403.0,-0.22735755941036095,212.35340748413842,0.03315570548530933,0.0077099283680155395,1
2015-11-03,209.57672119140625,221.0856475830078,221.82855224609372,219.7255859375,220.1827545166016,11373522.0,RELIANCE.NS,0.0077099283680155395,0.029428996096586335,0.00242867840517376,212.1366195678711,202.8870001220703,207.63124443054198,0.042185210801257034,0.08969844026471874,215.46830035528149,212.55986906245687,211.06244598929524,0.040110010220441916,0.6793087626009231,4.405854365986244,3.8052515471260446,0.6006028188601991,225.0971202378559,199.17611889788628,0.11724416136166162,0.8452423730767497,2.9428996096586335,0.3840125728489019,4.289881113637844,0.019403706936820423,0.027298979302691328,0.023262661139503458,18595566.0,-0.09679415154249704,213.47527105783718,0.03564992088994123,-0.016439220490978457,0
2015-11-04,206.13140869140625,217.451171875,222.8686065673828,216.285400390625,221.26852416992188,10033187.0,RELIANCE.NS,-0.016439220490978457,0.015315642853534817,0.0025384121024127474,212.74522171020507,203.0470083618164,207.75485076904297,0.022120121556503003,0.07094004304420154,215.77335751216125,213.02570742593986,211.53568499271518,0.02077432110206079,0.6024350261526177,4.237672519446079,3.8917357415900518,0.34593677785602717,225.49124773321424,199.9991956871959,0.11723115505062545,0.6846046036741072,1.5315642853534817,-0.5644450879252472,4.453690077460318,0.020481333988949413,0.024756934561000563,0.023814806894267487,1340335.0,-0.9279217959808268,214.14859390043256,0.01542189894603263,-0.015452519423361899,0
2015-11-05,202.94615173339844,214.09100341796875,217.38259887695312,213.2681121826172,216.9254302978516,10767454.0,RELIANCE.NS,-0.015452519423361899,-0.004675885260696622,0.0032565656874299345,213.00580673217775,203.1779864501953,207.87102813720702,0.005094681231650577,0.053711610979315205,215.51453380536242,213.12716418716104,211.72496785714878,0.004522366890600926,0.5414310812160134,3.7895659482136352,3.871301782914769,-0.08173583470113366,225.63158080322796,200.38003266112753,0.11794773128697036,0.5429754516310911,-0.46758852606966217,-1.926702542682568,4.434359332300346,0.0207124973095818,0.02240674728678888,0.02419051754037827,-734267.0,-1.5478234918882219,214.49853138520055,-0.0018999102912269361,0.016869546054400164,1
2015-11-06,206.3697509765625,217.7026214599609,218.2397918701172,214.3881683349609,214.74246215820312,8367190.0,RELIANCE.NS,0.016869546054400164,0.00495937472771435,0.001480509466945931,213.7292724609375,203.73961547851562,207.9717761993408,0.01859056999199593,0.06853358365603524,215.85116267530066,213.56292202295953,212.16775705215767,0.019383980130016853,0.5895418241625665,3.6834056231429884,3.833722550960413,-0.15031692781742478,225.63494182118126,201.82360310069373,0.10937552593902422,0.666867938240058,0.49593747277143496,-0.3400799592345627,4.4139614089887065,0.020275187222770795,0.024932804795555128,0.024619901135933455,19134644.0,-27.05951785930731,215.00211247965186,0.012560383473277037,0.009292329435321767,1
